1 1095
2 1062
3 774
4 546
5 383
6 435
7 294
8 272
9 360
10 603
11 919
12 1489
13 2441
14 3419
15 3745
16 3134
17 3526
18 3542
19 3575
20 3530
21 3007
22 2028
23 1440
24 1175
